name,food_name,Images,CookTime,PrepTime,TotalTime,RecipeIngredientParts,Calories,FatContent,CarbohydrateContent,ProteinContent,RecipeServings,RecipeInstructions,is_seafood,is_nut,is_lactose
11,Citrus Chicken,"https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/20/0/picj7Zloz.jpg",PT4H30M,PT10M,PT4H40M,"""chicken breast halves"", ""lemon juice"", ""lime juice"", ""sugar"", ""dried oregano""",167.7,10.2,3.6,15.3,4,"""Rinse chicken; pat dry."", ""Sprinkle with salt and pepper."", ""Place chicken in plastic bag set in shallow dish."", ""For marinade, combine lemon, lime, and orange juices, oil,  sugar and oregano in small bowl."", ""Pour over chicken; seal bag."", ""Marinate in  refrigerator 4 to 24 hours, turning occasionally."", ""Drain chicken, reserving marinade."", ""Grill chicken on rack of uncovered grill directly over medium coals  12 to 15 minutes or until tender and no longer pink inside, turning once and brushing  occasionally with marinade during first half of cooking."", 
""Or, broil on unheated rack of broiler pan 4 to 5 inches from heat 12 to 15 minutes, turning once and  brushing occasionally with marinade during first half of cooking."", ""Discard any remaining marinade."")",0,0,0
12,Chocolate Tapioca Pudding,"https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/22/4/picgOJlqk.jpg",PT20M,PT30M,PT50M,"""sugar"", ""tapioca"", ""salt"", ""milk"", ""egg"", ""instant coffee"", ""vanilla""",230.5,8.4,36.1,5.5,8,"Combine sugar, tapioca, and salt in a saucepan; stir in milk and egg."", ""Let stand 5  minutes."", ""Add chopped chocolate squares and instant coffee."", ""Cook, stirring over medium heat, until mixture comes to a full boil and chocolate is blended, about 15 minutes."", ""Remove from heat and stir in vanilla."", ""Cool for 20 minutes; stir and chill."", ""Serve  with whipped topping if desired.",0,0,1
13,Chicken Fried Brown Rice,"https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/24/0/picvBXFwb.jpg",PT6M,PT10M,PT16M,"""boneless skinless chicken breasts"", ""green onion"", ""cooked brown rice"", ""light soy sauce""",355.9,9.8,46.2,20.3,4,"Heat large nonstick skillet over medium heat. Add 1 tablespoon oil."", ""Add chicken, red  pepper, and green onion."", ""Cook 5 minutes until chicken is cooked through."", ""Remove  to plate."", ""Heat remaining tablespoon of oil in skillet."", ""Add cooked rice; cook 1 minute."", ""Stir in soy sauce, vinegar, and peas; cook 1 minute."", ""Stir in chicken and vegetable mixture."", ""*NOTE: Simmer, covered, 1 cup brown rice in 2-1/2 cups water for 45 minutes.",0,0,0
14,Blue Jimmy Pillows,"https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/29/8/picQuJ2iT.jpg",PT15M,PT30M,PT45M,"""chicken broth"", ""Worcestershire sauce"", ""parsley"", ""season salt"", ""celery seed"", ""tarragon"", ""all-purpose flour"", ""eggs""",462.0,34.3,25.8,12.5,4,"""In saucepan, combine chicken broth, vegetable oil, Worcestershire sauce,  parsley, season salt, celery seed, red pepper, and tarragon."", ""Bring to a  boil, incorporate flour until blended."", ""Once flour and ingredients are  combined set aside to cool."", ""While that is cooling beat eggs to a fluffy  consistency."", ""The reason for letting the flour mixture cool is so that it  doesn't cook  the eggs."", ""Combine beaten eggs and flour mixture thoroughly."", ""Incorporate  crab meat. After everything is combined, drop 1 large tablespoon per  serving onto ungreased cookie sheet, and bake at 425 degrees for 12 to 15  minutes or until golden brown.""
)",0,0,0
15,Homemade Butter,"https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/31/0/picinxOPY.jpg",PT6H10M,PT25M,PT6H35M,"""heavy cream""",68.4,7.3,0.6,0.4,12,"""Place the bowl and blade of a food processor into the freezer to chill  for 4 to 5 hours."", ""Refit the bowl and blade, turn on the food processor,  and pour the cream through the feed tube. Continue to process for about  10 minutes, until the Butter has hardened around the blade, leaving the  liquid that has separated from the cream in the bottom of the bowl."", ""Transfer the Butter to a fine sieve and shake 2 or 3 times over the sink  to allow any excess liquid to drain."", ""Put the butter in a bowl, cover, and  chill for at least 1 hour before using."", 
""Store it in the refrigerator,  where it has a shelf life of about 1 week."", ""While holding the ruler, grab the end of the top  layer of wax paper and slowly pull it toward you; this will form the  Butter into the shape of a log."", ""Roll the paper around the log and chill."", ""Serve whole or cut off medallions as needed."")",0,0,1
16,Zucchini Frittatas II,"https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/36/4/pic3kR05R.jpg",PT15M,PT50M,PT1H5M,"""olive oil"", ""onion"", ""garlic"", ""zucchini"", ""salt"", ""pepper"", ""fresh basil"", ""flat-leaf Italian parsley"", ""fat-free parmesan cheese""",106.0,5.1,9.1,7.2,3,"""Heat 1/2 Tbsp. oil in a 10-inch, heavy-bottomed, oven-proof skillet. Add onion  and saute until tender and translucent. Stir in garlic and zucchini and continue sauteing until squash is just tender."", ""Season with salt and pepper and remove  from heat. In a mixing bowl, whisk together eggs, basil and parsley."", ""Stir in  sauteed vegetables."", ""Add remaining 1/2 tablespoon oil to same skillet over medium heat, tilting pan to coat bottom and sides."", ""Add egg-vegetable mixture, spreading evenly."", 
""Reduce heat to low and cover pan."", ""Cook 10 to 15 minutes, until set.  Preheat broiler."", ""Sprinkle grated cheese on top of frittata if desired and broil  briefly until lightly browned."", ""Cut into 3 wedges."", ""Serve immediately from the pan or transfer to a large round plate or platter."")",0,0,1
17,Zesty Sweet Potato Pie,"https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/38/1/picfjZBqb.jpg",PT21M,PT30M,PT51M,"""Homemade Pie Crust"", ""sweet potatoes"", ""sugar"", ""molasses"", ""eggs"", ""nutmeg"", ""powdered ginger"", ""cinnamon"", ""orange zest"", ""butter"", ""milk"", ""evaporated milk""",291.7,13.4,38.6,5.1,8,"""Preheat oven to 450 degrees Fahrenheit."", ""Line a pie pan with rolled out dough; prick all over with fork; press a piece of heavy-duty foil directly into the pie shell."", ""Bake for 6 minutes; remove foil; bake for 4 more minutes until just beginning to brown."", ""Combine the sweet potatoes and sugar in a large bowl; beat in molasses and eggs."", ""Add the spices and orange zest and stir well."", ""Stir in melted butter and milk."", ""Pour filling into pie shell."", ""Bake for 15 minutes."", ""Reduce heat to 300 degrees Fahrenheit."", 
""Continue baking for 30 to 40 minutes or until filling is firm around edges, but center remains slightly soft and quivers when you move the pie."")",0,1,1
18,Glazed Pineapple With Macadamia Nut Crunch,"https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/42/8/pic5mGAZf.jpg",PT1M,PT30M,PT31M,"""pineapple"", ""light brown sugar"", ""salt"", ""unsalted butter""",234.0,18.5,18.7,1.7,8,"""Preheat the broiler."", ""Cut the pineapple into 8 slices about 1-inch  thick."", ""For a decorative presentation you might want to cut notched grooves 1  inch apart on the top of each slice to suggest the grooves of a scallop shell."", ""In a small bowl, combine the macadamia nuts, brown sugar and salt."", ""Add the melted butter and stir until well blended."", ""Place the pineapple slices on a baking sheet lined with foil."", ""Sprinkle with a few tablespoons of the nut mixture, or arrange in a  graphic pattern over each pineapple slice."", 
""Broil the pineapple slices about 6  inches from the heat until the filling starts to caramelize, about 1-1/2  minutes."", ""Serve hot."")",0,0,1
19,Gado Gado: Indonesian Salad,"https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/45/0/picO08cop.jpg",PT5M,PT40M,PT45M,"""water"", ""salt"", ""green cabbage"", ""Chinese cabbage"", ""bean sprouts"", ""green beans"", ""potatoes"", ""eggs"", ""English cucumber""",139.6,2.7,23.3,8.1,6,"""Bring the water to a boil; add salt, cabbage, bean sprouts, and green beans."", ""Boil vegetables for 5 minutes; drain."", ""Boil potatoes in a separate pot until tender then peel them."", ""Cut potatoes, eggs and cucumber into slices."", ""Heat peanut sauce on low heat."", ""Arrange the green vegetables on a very large platter."", ""Cover them with the sliced potatoes, eggs and cucumbers."", ""Pour the peanut sauce over the entire platter and serve."", ""Serving Ideas : Serve with white rice and a meat dish."", 
""NOTES : The peanut sauce may be made by hand or bought."", ""We put the Gado Gado in a large casserole dish."")",0,0,0
20,Greek Lemon Potatoes,"https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/45/1/picN3rEbF.jpg",PT1H15M,PT30M,PT1H45M,"""potato"", ""olive oil"", ""lemon"", ""water"", ""garlic"", ""bay leaves"", ""rosemary sprigs"", ""fresh thyme"", ""dried oregano"", ""sugar"", ""parsley""",176.3,4.7,31.2,3.7,6,"Preheat the oven to 200C/400F/Gas 6."", ""Cut the potatoes into bite sized  chunks and put them in a large ovenproof dish."", ""Add the olive oil, lemon  rind and juice, water, garlic, bay leaves, rosemary, thyme, oregano,  sugar, salt and pepper."", ""Stir well."", ""Bake the potatoes for 1-1 1/4 hours or  until they are cooked through and crispy."", ""Stir every now and then during  cooking to coat with the herby oil."", ""Finally sprinkle with the chopped  parsley.",0,0,0
21,Basic Crepes II,"https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/45/8/picSkQTnf.jpg",PT1H,PT5M,PT1H5M,"""eggs"", ""flour"", ""milk"", ""butter"", ""salt""",100.1,4.5,11.0,3.6,10,"Combine all ingredients in a blender."", ""Whirl one minute; scrape down and blend 15 seconds more."", ""Refrigerate at least one hour before making crepes."", ""Heat a lightly greased 6 inch skillet; remove from heat."", ""Spoon in 2 Tbsp batter; lift and tilt skillet to spread evenly."", ""Return to heat; brown on one side only."", ""To remove, invert pan over paper toweling."", ""Repeat with remaining batter.",0,0,1
22,Irish Dark Soda Bread,"https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/46/9/picxDWQwQ.jpg",PT45M,PT15M,PT1H,"""all-purpose flour"", ""whole wheat flour"", ""baking soda"", ""baking powder"", ""brown sugar"", ""buttermilk""",158.4,0.8,32.5,5.7,16,"Preheat oven to 400 degrees Fahrenheit."", ""Grease two loaf pans."", ""Sift all-purpose flour, whole wheat flour, baking soda and baking powder together into a large bowl."", ""Add brown sugar and stir well to incorporate, being very careful to break up any lumps of brown sugar."", ""Add buttermilk and stir well."", ""Divide the dough between the two prepared loaf pans."", ""Bake for about 45 minutes or until brown and crunchy."", ""Cool on wire racks.",0,0,1
23,Colcannon,"https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/48/5/pic05hcbl.jpg",PT20M,PT25M,PT45M,"""kale"", ""olive oil"", ""water"", ""potatoes"", ""water"", ""leek"", ""milk"", ""mace"", ""butter"", ""parsley""",311.1,19.9,30.1,6.8,6,"""In a large pot, simmer the kale along with olive oil and 2 cups water  for 10 minutes."", ""Drain kale and cool a bit before chopping it finely. Set aside and cover to keep it warm."", ""In a small pot, bring potatoes and water to a boil and simmer until tender."", ""In another small pot, simmer leeks in milk for 10 minutes; turn off heat and cover to keep warm."", ""Drain the potatoes and puree them into the large pot."", ""Add leeks with the milk, and cooked kale."", ""Beat with a spoon or whisk until fluffy."", 
""Season with mace, salt and pepper."", ""Top with melted butter; garnish with parsley if desired."", ""Yields 6 servings."")",0,0,1
24,7-Up Cake,"https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/49/6/piclJbARg.jpg",PT42M,PT45M,PT1H27M,"""pineapple instant pudding"", ""eggs"", ""margarine"", ""sugar"", ""crushed pineapple"", ""flour"", ""angel flake coconut"", ""eggs""",550.2,24.5,78.7,5.6,12,"Empty lemon supreme cake mix and instant pineapple pudding into a large mixing bowl."", ""Add oil and eggs."", ""Beat about 2 minutes."", ""Add 7-Up and mix until well blended."", ""Pour into a greased and floured cake sheet pan."", ""Preheat oven to 350 degrees Fahrenheit."", ""Bake 35 to minutes or until done."", ""While still hot spread with Icing."", ""ICING:"", ""Cook margarine, sugar, pineapple, flour and eggs until thick."", ""Add coconut and blend well."", ""Spread over cake while both are still warm.",0,1,0
25,Chicken Satay With Peanut Sauce,"https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/50/5/pic6LydaU.jpg",PT5M,PT30M,PT35M,"""boneless skinless chicken breast"", ""peanut butter"", ""fresh coriander"", ""honey"", ""soya sauce"", ""garlic"", ""gingerroot"", ""sesame seeds""",174.4,6.5,5.5,23.1,5,"""Preheat oven to 425 degrees Fahrenheit (220 degrees Celsius)."", ""Spray baking pan with vegetable spray."", ""In a small bowl or food processor, combine peanut butter, chicken stock,  coriander, rice wine vinegar, honey, sesame oil, soya sauce, garlic, ginger and sesame  seeds."", ""Set 3 tablespoons (45 mL) aside."", ""Cut chicken into 1 inch (2.5 cm) cubes."", ""Thread onto 10 small bamboo or barbecue skewers."", ""Place skewers in prepared pan."", ""Brush with half of the  peanut sauce that has been set aside."", 
""Bake approximately 5 minutes."", ""Turn over and brush with the remaining 1-1/2 tablespoons (20 mL) sauce."", ""Bake 5 more minutes or just until chicken is done."", ""Serve with remaining peanut sauce."")",0,1,1
26,Gray Girls' Easy Chicken Fingers,"https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/54/2/picWtoOPr.jpg",PT20M,PT10M,PT30M,"""boneless skinless chicken breast""",0.0,0.0,0.0,0.0,14,"Cut chicken into strips."", ""Dip chicken in the salad dressing and then in the smashed crackers!"", ""Bake for 15-20 minutes at 400F.",0,0,0
27,Baked Creamed Potatoes,"https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/54/7/picLqiIR3.jpg",PT30M,PT30M,PT1H,"""potatoes"", ""mayonnaise"", ""sour cream"", ""milk"", ""eggs"", ""mustard"", ""parsley"", ""cheese"", ""parmesan cheese""",267.1,15.2,28.0,6.0,8,"Peel and chop potatoes, cook in boiling salted water until tender, drain well."", ""Mash until smooth, mix with mayonnaise, sour cream, milk, lightly beaten eggs, mustard and parsley; season with salt and pepper."", ""Press mixture though a sieve, spoon mixture evenly into a greased casserole dish."", ""Sprinkle with grated cheeses."", ""Bake in a moderate oven 20 - 30 minutes or until golden on top.",0,0,1
28,Grilled Bourbon Salmon,"https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/54/8/pic6LZJLm.jpg",PT1H7M,PT20M,PT1H27M,"""soy sauce"", ""brown sugar"", ""Bourbon"", ""fresh cracked pepper"", ""garlic powder"", ""salmon fillet""",429.3,32.3,9.4,24.4,4,"Combine juice, soy, brown sugar, bourbon, pepper, garlic powder and oil in a bowl."", ""Remove all skin from the salmon."", ""Place the salmon in a glass dish side by side. Pour some of the marinade over (reserve some for basting while grilling). Refrigerate for at least 1 hour a few hours will be even better."", ""Drain and grill over med.-high about 5-7 minutes per side or until fish flakes-basting with the reserved marinade.",0,0,0
29,German Potato-Cheese Soup,"https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/55/8/piceCJz28.jpg",PT40M,PT30M,PT1H10M,"""water"", ""chicken broth"", ""pepper"", ""carrots"", ""potatoes"", ""onion"", ""celery"", ""mayonnaise"", ""processed cheese"", ""cheddar cheese"", ""swiss cheese""",335.8,20.6,24.2,14.3,12,"""Peel and prepare vegetables."", ""In a large cooking pot, add water, chicken broth,  chicken soup base, black pepper, carrots, potatoes, onions and bring to boil."", ""Reduce heat and simmer for 15 minutes or until vegetables are tender; stirring  occasionally."", ""Add celery, sweet red pepper and simmer for 5 minutes more.   Gradually add mayonnaise to hot soup, whisking until smooth."", ""Reduce heat to  medium and add processed cheese, sharp cheddar cheese and Swiss cheese and  simmer for 5 minutes or until cheese melts and soup is creamy; stirring  constantly."", 
""Add instant mashed potatoes and stir well."", ""Let soup sit for 15 minutes before serving."", ""This soup is very rich, but good."", ""Refrigerate any unused portion."", ""Serves 12"")",0,0,1
30,Golden Baked Fish,"https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/56/1/pic7DAqOf.jpg",PT20M,PT30M,PT50M,"""pepper"", ""salt"", ""mayonnaise"", ""dill weed"", ""onion"", ""fresh dill"", ""lemon wedge""",299.8,6.9,3.6,52.8,4,"Place fish in a greased 13-in X 9-in x 2 baking dish; sprinkle with pepper."", ""Beat egg white with salt if desired until stiff peaks form."", ""Fold in mayonnaise, dill and onion juice, spoon over fish."", ""Bake uncovered at 425 degrees for 15 to 20 minutes or until topping is puffed and golden and fish flakes easily with a fork."", ""Garnish with dill and lemon if desired.",0,0,0
31,Bacon and Potato Pie,"https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/58/5/slEyHK7TdGhyEaLxcorA_DSCN1151.JPG",PT45M,PT25M,PT1H10M,"""bacon"", ""onion"", ""milk"", ""flour"", ""eggs"", ""potatoes""",439.1,24.3,41.3,14.0,4,"Trim bacon, chop finely."", ""Peel potatoes and grate.  Peel and chop onion finely, and mix all together."", ""Add flour."", ""Beat eggs and season, add milk."", ""Blend with bacon mixture.  Melt dripping in shallow pan."", ""Pour mixture in ."", ""Bake at 400 F for 3/4 hour."", ""When cooked cut into squares and serve. Cheers, Doreen Doreen Randal,  Wanganui."", ""New Zealand.",0,0,1
